Departure_Date_Key,Arrival_Date_Key,Departure_Time_Key,Arrival_Time_Key,Origin_Airport_Key,Destination_Airport_Key,Airline_Key,Aircraft_Key,Departure_time,Distance_km,Delay_minutes,Passenger
2024-08-02,2024-08-02,10:38,19:55,BOM,BCN,LA,1012,2024-08-02 10:38:00,7037.36,0,44
2025-08-11,2025-08-11,01:53,19:24,JFK,HGH,SK,1034,2025-08-11 03:55:00,11999.04,122,149
2020-11-30,2020-11-30,02:16,06:03,IAH,SFO,G3,1015,2020-11-30 02:16:00,2627.7,0,107
2023-01-16,2023-01-16,11:49,23:53,PHX,NRT,VS,1054,2023-01-16 11:49:00,9257.91,0,31
2020-10-23,2020-10-23,02:07,18:16,JFK,BOM,BT,1071,2020-10-23 02:07:00,12532.09,0,166
2023-07-03,2023-07-03,04:20,13:41,CAN,BNE,BA,1071,2023-07-03 04:20:00,7081.24,0,184
2020-08-19,2020-08-19,08:16,20:12,FRA,HKG,MS,1078,2020-08-19 08:16:00,9153.94,0,90
2023-06-24,2023-06-24,08:02,21:37,MAD,SZX,OZ,1049,2023-06-24 08:02:00,10471.54,0,43
2021-06-23,2021-06-23,11:46,12:45,AMS,CDG,AZ,1078,2021-06-23 11:46:00,398.96,0,81
2025-04-11,2025-04-11,08:30,20:18,NRT,SEA,ET,1084,2025-04-11 10:14:00,7654.88,104,177
2024-09-29,2024-09-30,20:55,10:54,SEA,HKG,WS,1099,2024-09-29 21:21:00,10442.03,26,41
2023-09-30,2023-10-01,03:55,01:54,TFU,GRU,NZ,1057,2023-09-30 04:09:00,17000.13,14,86
2020-09-24,2020-09-25,14:47,00:32,FRA,ATL,JL,1008,2020-09-24 14:47:00,7408.55,0,156
2022-05-20,2022-05-21,19:24,06:54,LAX,HND,UA,1006,2022-05-20 19:24:00,8812.61,0,189
2024-02-11,2024-02-11,04:27,19:48,TFU,BOS,IB,1088,2024-02-11 04:27:00,11888.43,0,95
2024-07-17,2024-07-17,00:24,10:07,ORD,CDG,DL,1067,2024-07-17 01:18:00,6664.73,54,198
2024-09-24,2024-09-24,08:48,09:43,IAD,EWR,G3,1018,2024-09-24 08:48:00,340.32,0,34
2023-10-04,2023-10-05,22:07,05:22,KUL,NRT,UA,1042,2023-10-04 22:07:00,5409.94,0,78
2020-12-04,2020-12-04,04:29,22:40,AMS,PER,UL,1093,2020-12-04 04:29:00,14157.22,0,130
2023-08-09,2023-08-09,18:32,21:12,HND,PVG,NH,1078,2023-08-09 18:32:00,1736.8,0,76
2024-11-21,2024-11-21,01:22,04:22,CAN,ICN,FR,1041,2024-11-21 01:22:00,2004.15,0,60
2021-11-13,2021-11-14,13:52,00:09,SYD,NRT,WY,1015,2021-11-13 13:52:00,7832.14,0,110
2023-06-02,2023-06-02,15:41,17:42,JFK,ATL,MU,1050,2023-06-02 15:41:00,1221.92,0,146
2022-04-20,2022-04-20,08:24,08:56,SZX,HKG,ET,1086,2022-04-20 08:24:00,38.47,0,111
2024-06-28,2024-06-29,22:37,14:06,ATL,NRT,QR,1039,2024-06-28 23:51:00,11000.89,74,273
2020-09-03,2020-09-03,07:13,10:09,PEK,SZX,NZ,1002,2020-09-03 07:13:00,1957.05,0,74
2024-12-02,2024-12-02,04:17,21:01,SFO,DOH,AC,1086,2024-12-02 04:17:00,12993.38,0,179
2023-08-08,2023-08-08,05:20,16:04,SEA,FRA,VY,1035,2023-08-08 05:20:00,8196.55,0,70
2022-08-20,2022-08-21,16:07,02:48,PEK,LHR,AA,1087,2022-08-20 16:07:00,8153.88,0,386
2020-12-25,2020-12-26,09:19,02:38,DEN,BOM,BT,1053,2020-12-25 09:19:00,13455.77,0,43
2022-05-06,2022-05-07,09:54,04:57,KUL,YYZ,WS,1004,2022-05-06 09:54:00,14851.33,0,30
2024-05-26,2024-05-26,06:32,19:40,SFO,FCO,U2,1043,2024-05-26 06:36:00,10057.53,4,201
2023-06-01,2023-06-01,03:14,14:37,SYD,TFU,AZ,1006,2023-06-01 03:14:00,8711.06,0,128
2025-03-31,2025-04-01,22:22,00:10,CLT,MIA,CZ,1075,2025-03-31 22:22:00,1049.12,0,110
2021-01-08,2021-01-09,14:50,02:44,SEA,FCO,OZ,1066,2021-01-08 14:50:00,9129.42,0,183
2023-06-25,2023-06-26,14:49,02:11,IAH,MUC,MH,1063,2023-06-25 14:49:00,8698.25,0,313
2021-11-06,2021-11-07,22:24,03:43,EWR,SEA,JL,1050,2021-11-06 22:24:00,3854.51,0,135
2023-03-11,2023-03-12,21:17,01:50,TFU,SIN,SA,1081,2023-03-11 21:17:00,3248.47,0,97
2023-04-07,2023-04-07,03:56,11:11,KUL,NRT,MU,1083,2023-04-07 03:56:00,5409.94,0,179
2023-04-05,2023-04-06,22:46,03:44,LAS,EWR,LA,1048,2023-04-05 22:46:00,3575.53,0,113
2021-05-28,2021-05-28,04:00,12:59,PVG,DOH,KL,1076,2021-05-28 04:00:00,6796.27,0,111
2023-04-06,2023-04-07,17:58,14:06,IAH,HKG,NH,1043,2023-04-06 20:51:00,13412.38,173,135
2024-03-08,2024-03-08,10:31,14:58,ORD,MIA,WY,1087,2024-03-08 12:04:00,1929.51,93,291
2021-11-02,2021-11-02,09:22,21:08,DFW,FCO,ET,1099,2021-11-02 09:22:00,9013.56,0,37
2020-03-14,2020-03-14,05:15,20:57,IAH,PVG,AF,1087,2020-03-14 05:15:00,12166.05,0,326
2023-03-13,2023-03-13,04:14,14:17,IAD,GRU,AZ,1090,2023-03-13 04:14:00,7649.94,0,221
2024-11-28,2024-11-29,19:10,13:36,MCO,PVG,EK,1021,2024-11-28 20:55:00,12952.6,105,164
2022-10-02,2022-10-03,11:31,04:48,BNE,IAH,IB,1064,2022-10-02 11:31:00,13434.55,0,364
2022-09-21,2022-09-22,17:36,06:58,FRA,MNL,SV,1049,2022-09-21 17:36:00,10297.57,0,30
2021-05-18,2021-05-18,12:13,13:10,DFW,IAH,HG,1002,2021-05-18 12:13:00,361.63,0,72
2023-08-03,2023-08-03,00:42,14:59,NRT,CLT,EY,1000,2023-08-03 00:42:00,11035.45,0,170
2020-11-16,2020-11-16,01:01,09:37,CAN,DOH,AA,1011,2020-11-16 01:23:00,6196.87,22,85
2025-07-09,2025-07-09,07:59,23:30,DEL,ORD,SV,1030,2025-07-09 07:59:00,12022.86,0,165
2025-10-31,2025-11-02,23:49,00:25,HGH,GRU,CZ,1090,2025-11-01 00:47:00,18513.54,58,235
2020-06-04,2020-06-05,16:36,08:04,EWR,HGH,CA,1019,2020-06-04 16:36:00,11986.26,0,59
2023-01-21,2023-01-21,08:09,20:13,PHX,NRT,SU,1019,2023-01-21 08:09:00,9257.91,0,76
2020-07-18,2020-07-19,12:22,04:31,BOM,JFK,AA,1050,2020-07-18 12:22:00,12532.09,0,129
2021-11-19,2021-11-20,16:57,05:01,LAS,MUC,BA,1014,2021-11-19 16:57:00,9258.07,0,330
2023-01-05,2023-01-05,11:49,16:01,ORD,SFO,DL,1065,2023-01-05 11:49:00,2964.02,0,97
2024-12-07,2024-12-08,20:04,12:46,JFK,HKG,MH,1089,2024-12-07 20:04:00,12970.28,0,221
2024-05-23,2024-05-23,06:45,10:57,ORD,SFO,JJ,1023,2024-05-23 06:45:00,2964.02,0,128
2024-01-31,2024-01-31,08:37,22:02,YYZ,HND,VN,1042,2024-01-31 08:37:00,10346.35,0,65
2020-08-27,2020-08-28,10:09,05:13,ORD,SYD,QR,1072,2020-08-27 10:09:00,14861.69,0,66
2023-04-01,2023-04-01,02:34,16:26,BOS,DXB,NH,1043,2023-04-01 02:34:00,10702.33,0,189
2023-12-25,2023-12-25,06:09,23:25,CLT,PVG,UA,1097,2023-12-25 07:36:00,12262.58,87,301
2023-02-14,2023-02-15,18:53,12:30,JFK,MNL,AM,1004,2023-02-14 18:53:00,13695.43,0,45
2021-06-01,2021-06-01,19:23,21:50,TFU,HGH,AF,1085,2021-06-01 19:23:00,1568.64,0,54
2024-04-02,2024-04-03,10:15,03:15,YYZ,MNL,LY,1053,2024-04-02 10:15:00,13213.19,0,58
2022-05-17,2022-05-17,06:13,08:14,CAN,TFU,VS,1050,2022-05-17 06:13:00,1213.69,0,121
2023-06-29,2023-06-30,17:08,06:33,YYZ,HND,DL,1099,2023-06-29 17:08:00,10346.35,0,32
2023-05-26,2023-05-26,02:06,12:18,FRA,MIA,SA,1021,2023-05-26 02:06:00,7762.37,0,186
2025-02-20,2025-02-21,19:24,11:54,SEA,BOM,MU,1025,2025-02-20 19:50:00,12462.31,26,82
2025-07-28,2025-07-29,17:57,12:00,MCO,BOM,MU,1036,2025-07-28 17:57:00,14046.55,0,147
2021-12-19,2021-12-19,13:17,17:22,MNL,PEK,VY,1090,2021-12-19 13:17:00,2875.7,0,185
2023-06-04,2023-06-05,11:23,04:07,SFO,DOH,SV,1042,2023-06-04 11:23:00,12993.38,0,55
2022-05-24,2022-05-24,05:00,15:01,FRA,MCO,UL,1088,2022-05-24 05:00:00,7618.93,0,73
2020-11-13,2020-11-14,21:25,19:04,DFW,PER,LY,1046,2020-11-13 21:25:00,16927.72,0,409
2022-07-14,2022-07-15,16:36,05:48,MNL,MUC,CZ,1046,2022-07-14 16:36:00,10165.06,0,286
2021-12-23,2021-12-24,15:15,07:52,IAD,HGH,UA,1066,2021-12-23 16:15:00,12101.55,60,217
2024-12-28,2024-12-29,21:16,10:23,NRT,IST,VS,1014,2024-12-28 22:40:00,8981.39,84,327
2021-10-01,2021-10-02,23:46,15:56,YYZ,HGH,AA,1092,2021-10-02 01:01:00,11546.26,75,57
2022-11-21,2022-11-21,10:50,18:49,YYZ,AMS,JJ,1004,2022-11-21 10:50:00,5989.44,0,36
2023-02-11,2023-02-11,03:56,19:03,MCO,HND,AM,1097,2023-02-11 03:56:00,11699.45,0,234
2024-05-23,2024-05-23,01:43,09:25,JFK,MAD,BA,1077,2024-05-23 01:43:00,5760.44,0,271
2022-07-23,2022-07-24,20:40,02:18,SFO,EWR,KL,1057,2022-07-23 20:40:00,4118.23,0,111
2024-08-19,2024-08-20,11:18,00:38,PVG,MAD,LA,1036,2024-08-19 11:18:00,10268.23,0,118
2025-10-27,2025-10-28,23:10,02:14,IAH,YYZ,AA,1095,2025-10-27 23:10:00,2059.68,0,61
2023-12-27,2023-12-27,03:54,20:01,BNE,LAX,AM,1042,2023-12-27 05:07:00,11533.27,73,64
2023-01-09,2023-01-09,05:12,20:22,ICN,IAD,ET,1008,2023-01-09 05:54:00,11173.56,42,201
2024-05-18,2024-05-18,00:28,01:26,DXB,DOH,SV,1011,2024-05-18 00:28:00,377.85,0,102
2022-12-10,2022-12-10,07:09,18:32,TFU,SYD,HG,1078,2022-12-10 07:09:00,8711.06,0,69
2023-11-01,2023-11-02,22:58,19:25,MUC,BNE,U2,1087,2023-11-01 22:58:00,15962.43,0,246
2024-04-01,2024-04-01,12:16,23:37,SIN,IST,SK,1023,2024-04-01 12:16:00,8680.14,0,133
2022-01-19,2022-01-20,07:13,01:25,LAX,KUL,LA,1071,2022-01-19 07:13:00,14162.78,0,224
2023-05-07,2023-05-08,20:36,16:16,SIN,EWR,AF,1046,2023-05-07 20:36:00,15335.21,0,345
2020-08-23,2020-08-23,07:51,19:18,GRU,BCN,EY,1060,2020-08-23 07:51:00,8765.2,0,108
2024-09-11,2024-09-12,05:13,00:50,CLT,SYD,MU,1054,2024-09-11 05:13:00,15297.45,0,47
2024-07-12,2024-07-12,04:11,09:25,PVG,KUL,NH,1031,2024-07-12 04:11:00,3797.01,0,83
2022-12-02,2022-12-02,05:24,14:58,BKK,BNE,NZ,1096,2022-12-02 05:24:00,7260.7,0,379
2025-05-31,2025-06-01,22:57,08:34,PER,BOM,PK,1024,2025-05-31 22:57:00,7298.3,0,196
2024-06-17,2024-06-18,02:01,01:10,YYZ,PER,U2,1067,2024-06-17 02:01:00,18129.15,0,290
2023-10-08,2023-10-09,07:19,02:24,SEA,PER,U2,1084,2023-10-08 07:19:00,14872.05,0,145
2021-12-28,2021-12-29,22:42,14:18,CAN,PHX,DL,1059,2021-12-28 22:42:00,12082.07,0,362
2021-05-04,2021-05-05,22:53,09:01,SEA,HND,OZ,1059,2021-05-04 22:53:00,7711.86,0,360
2021-03-03,2021-03-03,10:34,15:23,PHX,JFK,AZ,1071,2021-03-03 10:34:00,3457.7,0,221
2022-11-15,2022-11-15,03:48,14:57,CLT,AMS,VY,1055,2022-11-15 06:04:00,6718.22,136,350
2020-01-11,2020-01-12,21:39,01:15,MNL,TFU,KE,1036,2020-01-11 21:39:00,2488.12,0,152
2024-07-05,2024-07-05,14:22,18:33,BKK,DEL,PK,1000,2024-07-05 14:22:00,2947.83,0,180
2022-02-27,2022-02-28,13:49,06:32,IAH,TFU,KL,1087,2022-02-27 13:49:00,12974.38,0,271
2024-10-20,2024-10-20,03:35,07:07,BOG,MIA,AM,1054,2024-10-20 03:35:00,2435.08,0,47
2025-10-30,2025-10-30,03:20,19:15,MNL,DEN,MS,1062,2025-10-30 03:20:00,12343.9,0,48
2023-11-09,2023-11-09,10:59,13:20,IAD,MIA,AZ,1068,2023-11-09 10:59:00,1486.73,0,36
2025-03-22,2025-03-22,12:07,22:13,GRU,EWR,TK,1057,2025-03-22 12:07:00,7684.05,0,96
2021-04-01,2021-04-02,23:18,00:51,BCN,FCO,NH,1011,2021-04-01 23:18:00,846.47,0,101
2021-03-30,2021-03-30,13:04,18:59,GRU,BOG,CZ,1010,2021-03-30 13:04:00,4335.89,0,137
2020-11-24,2020-11-24,06:13,21:49,TFU,JFK,OZ,1047,2020-11-24 06:13:00,12092.7,0,297
2021-04-06,2021-04-06,05:44,23:21,MNL,JFK,HG,1075,2021-04-06 05:44:00,13695.43,0,94
2022-07-18,2022-07-19,18:56,07:15,CDG,CAN,UA,1072,2022-07-18 18:56:00,9456.5,0,68
2023-01-07,2023-01-07,09:31,23:52,CLT,HND,AM,1020,2023-01-07 09:31:00,11086.35,0,290
2025-06-25,2025-06-25,19:44,23:25,PHX,ATL,QR,1015,2025-06-25 19:44:00,2548.63,0,81
2024-09-07,2024-09-08,21:26,10:54,CAN,SEA,AA,1078,2024-09-07 21:26:00,10377.87,0,69
2025-06-30,2025-06-30,02:55,05:57,FRA,CDG,FJ,1014,2025-06-30 04:54:00,448.78,119,352
2021-08-30,2021-08-31,18:34,05:41,ICN,MUC,KL,1080,2021-08-30 18:34:00,8499.81,0,145
2022-10-03,2022-10-04,20:30,09:13,SYD,ICN,JJ,1058,2022-10-03 22:18:00,8341.45,108,181
2020-11-05,2020-11-06,19:02,09:18,EWR,DXB,KL,1085,2020-11-05 19:02:00,11021.29,0,67
2024-10-26,2024-10-27,11:32,05:27,BKK,EWR,JJ,1002,2024-10-26 11:32:00,13945.75,0,87
2024-08-01,2024-08-01,07:28,22:47,TFU,ORD,KL,1029,2024-08-01 07:28:00,11854.8,0,103
2024-11-19,2024-11-19,10:57,15:04,YYZ,EWR,BT,1071,2024-11-19 13:53:00,558.43,176,148
2023-02-21,2023-02-22,06:00,01:07,AMS,PER,MU,1050,2023-02-21 06:56:00,14157.22,56,162
2021-07-27,2021-07-28,14:52,13:20,GRU,PEK,LH,1080,2021-07-27 14:52:00,17577.57,0,201
2025-08-28,2025-08-29,21:48,16:19,BNE,BOG,UX,1019,2025-08-28 21:48:00,14417.66,0,64
2021-01-01,2021-01-01,03:43,14:44,IAH,BCN,JJ,1022,2021-01-01 03:43:00,8425.0,0,44
2020-11-20,2020-11-20,05:49,07:42,ATL,IAH,EY,1009,2020-11-20 05:49:00,1107.07,0,296
2025-05-12,2025-05-13,23:39,03:46,HKG,HND,EK,1011,2025-05-12 23:39:00,2902.14,0,102
2020-10-27,2020-10-28,21:20,01:34,HND,MNL,WS,1044,2020-10-27 21:20:00,2995.62,0,109
2023-02-10,2023-02-11,21:54,14:26,ATL,DEL,LH,1025,2023-02-10 21:54:00,12830.65,0,101
2022-11-27,2022-11-27,08:18,18:44,LHR,ATL,LY,1001,2022-11-27 09:47:00,6760.95,89,229
2021-10-13,2021-10-14,09:38,04:28,MCO,MNL,U2,1036,2021-10-13 09:38:00,14670.1,0,171
2023-04-18,2023-04-18,03:54,20:33,SZX,EWR,CA,1061,2023-04-18 03:54:00,12924.96,0,99
2022-07-18,2022-07-18,15:31,17:34,AMS,BCN,VY,1013,2022-07-18 15:31:00,1241.31,0,311
2022-03-18,2022-03-18,18:49,20:54,CAN,MNL,AM,1086,2022-03-18 18:49:00,1277.99,0,170
2024-04-28,2024-04-29,19:02,14:58,YYZ,SYD,AA,1084,2024-04-28 19:02:00,15555.01,0,134
2023-05-18,2023-05-18,18:57,22:56,ATL,EWR,EY,1062,2023-05-18 20:57:00,1198.39,120,51
2021-09-12,2021-09-13,15:16,04:32,HKG,AMS,AF,1073,2021-09-12 16:27:00,9274.35,71,144
2021-10-07,2021-10-08,15:47,06:50,DXB,ORD,SV,1020,2021-10-07 15:47:00,11641.07,0,279
2024-09-16,2024-09-17,14:27,02:45,IST,MCO,VS,1064,2024-09-16 14:27:00,9449.13,0,470
2021-07-06,2021-07-07,15:47,04:00,LAX,MAD,SU,1004,2021-07-06 15:47:00,9384.85,0,31
2020-11-30,2020-12-01,15:19,01:47,IST,HGH,UA,1064,2020-11-30 15:19:00,7980.8,0,398
2024-05-08,2024-05-08,08:47,20:58,MUC,PHX,DL,1015,2024-05-08 08:47:00,9348.12,0,66
2023-03-27,2023-03-27,05:03,23:23,DXB,SYD,NH,1075,2023-03-27 07:50:00,12043.42,167,109
2022-11-27,2022-11-27,01:55,13:34,FCO,DEN,QR,1039,2022-11-27 01:55:00,8931.26,0,215
2020-01-19,2020-01-20,22:20,20:41,BNE,EWR,KE,1059,2020-01-20 00:51:00,15473.86,151,305
2021-01-14,2021-01-14,00:39,09:43,JFK,FCO,MH,1038,2021-01-14 00:39:00,6865.56,0,102
2022-03-20,2022-03-20,06:50,17:23,MAD,DEN,MS,1051,2022-03-20 06:50:00,8041.31,0,189
2021-06-27,2021-06-28,20:56,09:59,FCO,SIN,WY,1057,2021-06-27 20:56:00,10051.64,0,93
2020-01-07,2020-01-08,19:56,09:39,LAX,HGH,G3,1095,2020-01-07 19:56:00,10579.65,0,67
2022-08-10,2022-08-10,07:01,21:42,DXB,IAD,G3,1033,2022-08-10 07:01:00,11354.64,0,191
2023-09-15,2023-09-15,08:00,13:03,CAN,DEL,AM,1036,2023-09-15 08:00:00,3649.96,0,181
2022-07-27,2022-07-27,01:43,06:41,IAH,BOG,MH,1073,2022-07-27 01:43:00,3585.12,0,112
2025-08-20,2025-08-21,16:26,07:18,LHR,HND,OZ,1060,2025-08-20 18:49:00,9591.55,143,89
2025-01-06,2025-01-06,07:57,20:37,SEA,IST,AA,1094,2025-01-06 07:57:00,9745.42,0,125
2020-09-08,2020-09-08,01:33,15:03,HGH,LHR,JL,1015,2020-09-08 02:59:00,9256.2,86,91
2023-01-26,2023-01-27,19:25,18:47,PER,MIA,VS,1093,2023-01-26 19:25:00,18293.63,0,135
2021-02-20,2021-02-21,06:55,00:14,YYZ,TFU,AA,1025,2021-02-20 09:03:00,11749.63,128,94
2023-01-25,2023-01-26,23:48,14:55,HND,MCO,UX,1035,2023-01-25 23:48:00,11699.45,0,53
2024-04-21,2024-04-21,04:27,09:33,PHX,BOS,ET,1020,2024-04-21 04:27:00,3692.92,0,220
2022-01-30,2022-01-31,21:33,13:58,DFW,DOH,EY,1023,2022-01-30 21:33:00,12744.47,0,99
2025-02-05,2025-02-06,13:35,06:43,BKK,LAS,VS,1066,2025-02-05 13:35:00,13318.55,0,184
2024-07-05,2024-07-05,06:47,17:57,FRA,ICN,WS,1053,2024-07-05 06:47:00,8543.5,0,53
2023-05-08,2023-05-09,15:19,03:11,LAX,CDG,AZ,1094,2023-05-08 15:19:00,9102.74,0,153
2022-10-07,2022-10-07,06:16,23:28,SYD,GRU,FR,1025,2022-10-07 06:16:00,13367.74,0,111
2021-08-27,2021-08-27,02:14,12:44,IST,HKG,NZ,1047,2021-08-27 02:14:00,8008.55,0,277
2023-07-26,2023-07-27,19:59,16:27,SYD,EWR,OZ,1041,2023-07-26 19:59:00,15980.52,0,41
2023-11-02,2023-11-03,10:46,00:00,PEK,DEN,MS,1079,2023-11-02 10:46:00,10191.09,0,118
2025-04-28,2025-04-28,03:44,23:38,SIN,IAD,U2,1055,2025-04-28 03:44:00,15529.54,0,280
2024-03-13,2024-03-13,02:46,14:23,CLT,IST,HG,1098,2024-03-13 02:46:00,8896.01,0,83
2024-12-24,2024-12-25,22:12,05:56,EWR,MAD,DL,1017,2024-12-24 22:12:00,5788.64,0,238
2021-07-20,2021-07-20,02:29,04:29,ICN,HND,TK,1087,2021-07-20 02:29:00,1209.94,0,358
2025-10-11,2025-10-12,14:32,05:23,HND,ATL,ET,1094,2025-10-11 15:04:00,11053.6,32,141
2021-03-29,2021-03-30,16:15,03:11,BCN,DEN,LH,1041,2021-03-29 16:15:00,8353.81,0,53
2023-12-01,2023-12-02,19:17,00:38,SFO,IAD,LY,1017,2023-12-01 19:17:00,3883.4,0,280
2025-08-19,2025-08-19,15:09,21:10,PEK,KUL,NH,1029,2025-08-19 15:09:00,4414.1,0,83
2021-02-10,2021-02-10,03:53,12:13,DOH,SZX,LY,1019,2021-02-10 03:53:00,6270.14,0,56
2024-04-01,2024-04-01,13:55,19:14,EWR,SEA,CA,1077,2024-04-01 13:55:00,3854.51,0,198
2023-11-08,2023-11-09,13:54,13:01,ATL,PER,IB,1009,2023-11-08 13:54:00,18102.42,0,311
2025-03-16,2025-03-17,21:04,21:30,MCO,PER,NZ,1093,2025-03-16 22:07:00,18311.5,63,153
2020-06-23,2020-06-23,07:14,08:22,IAD,CLT,AM,1092,2020-06-23 07:14:00,518.09,0,53
2024-09-12,2024-09-12,10:44,17:48,NRT,BKK,PK,1081,2024-09-12 11:30:00,4648.99,46,78
